Base do Autoencoder,Base de Treino,Base de Teste,Acuracia,Batch
CNR,PUC,PUC,0.933,64
CNR,PUC,PUC,0.964,128
CNR,PUC,PUC,0.968,256
CNR,PUC,PUC,0.977,512
CNR,PUC,PUC,0.984,1024
CNR,PUC,UFPR04,0.815,64
CNR,PUC,UFPR04,0.869,128
CNR,PUC,UFPR04,0.883,256
CNR,PUC,UFPR04,0.894,512
CNR,PUC,UFPR04,0.903,1024
CNR,PUC,UFPR05,0.696,64
CNR,PUC,UFPR05,0.784,128
CNR,PUC,UFPR05,0.830,256
CNR,PUC,UFPR05,0.833,512
CNR,PUC,UFPR05,0.845,1024
CNR,UFPR04,PUC,0.865,64
CNR,UFPR04,PUC,0.882,128
CNR,UFPR04,PUC,0.946,256
CNR,UFPR04,PUC,0.964,512
CNR,UFPR04,PUC,0.960,1024
CNR,UFPR04,UFPR04,0.901,64
CNR,UFPR04,UFPR04,0.956,128
CNR,UFPR04,UFPR04,0.940,256
CNR,UFPR04,UFPR04,0.958,512
CNR,UFPR04,UFPR04,0.969,1024
CNR,UFPR04,UFPR05,0.712,64
CNR,UFPR04,UFPR05,0.850,128
CNR,UFPR04,UFPR05,0.875,256
CNR,UFPR04,UFPR05,0.926,512
CNR,UFPR04,UFPR05,0.933,1024
CNR,UFPR05,PUC,0.642,64
CNR,UFPR05,PUC,0.681,128
CNR,UFPR05,PUC,0.814,256
CNR,UFPR05,PUC,0.714,512
CNR,UFPR05,PUC,0.739,1024
CNR,UFPR05,UFPR04,0.541,64
CNR,UFPR05,UFPR04,0.714,128
CNR,UFPR05,UFPR04,0.846,256
CNR,UFPR05,UFPR04,0.875,512
CNR,UFPR05,UFPR04,0.876,1024
CNR,UFPR05,UFPR05,0.928,64
CNR,UFPR05,UFPR05,0.973,128
CNR,UFPR05,UFPR05,0.962,256
CNR,UFPR05,UFPR05,0.975,512
CNR,UFPR05,UFPR05,0.979,1024
